   1.5078  3.2173
   1.8846  6.1501
   2.7666  2.6801
   0.9104  0.7643
   1.0800  1.2952
   1.2909  3.9406
   0.4130  4.8121
   2.3534  1.4131
   1.9122  5.6457
   0.9679  1.0492
   2.2054  2.8112
   1.4445  4.3000
   0.9771  3.6059
   2.0398  3.5529
   1.5867  2.4009
   2.2429  3.6205
  -0.1804 -0.0397
   1.7564  5.4675
   1.7408  2.5889
   2.1305  4.2000
   1.4323  1.5476
   1.4110  3.4534
   0.6255  2.9439
   2.3840  5.4224
   2.3415  4.3706
   1.8945  3.0320
   2.1046  6.1171
   0.5925  4.4740
   1.4317  1.1285
   2.6460  3.2058
   1.4829  4.0740
   2.8178  1.2174
   0.3789  3.6487
   2.2990  0.3352
   2.3923  6.2526
   1.9142  5.2694
   0.7470  0.5636
   0.9792  5.1749
   2.1438  1.2929
   1.5866  4.8678
   0.7762  5.0885
   2.7686  0.4558
   1.3521  0.8987
   0.2540  0.1856
   0.9054  0.3261
   2.6640  3.6897
   1.1434  2.5004
   1.2415  2.2635
   0.2174  4.3798
   0.5430  1.1493
   1.7698  5.0212
   1.9433  2.5718
   0.2276  1.8089
   1.5359  5.5852
   2.2932  5.9669
   1.8634  1.6620
   2.2225  5.6259
   2.4357  3.7578
   1.0018  3.3286
   0.6821  0.2305
   0.4098  5.9049
   2.0861  5.8385
   1.0173  2.2596
   1.7586  3.7006
   2.7862  1.9899
   2.6210  0.8275
   2.1950  6.3664
   2.8794  3.3652
   1.1335  2.0168
   2.0722  0.3346
   0.7357  2.2203
   0.4891  2.0812
   1.0309  2.7094
   1.1299  5.0043
   1.3089  1.3354
   1.9692  0.0945
   1.4833  2.8710
   0.9088  2.0102
   2.2569  4.6342
   1.2530  5.9581
   1.8948  4.2837
   2.5663  1.9941
   1.6608  4.6455
   1.8008  2.3409
   1.0949  4.3345
   1.1000  1.7736
   0.5062  5.2791
   1.8609  4.5353
   1.7451  1.8758
   2.4813  0.4945
   1.2757  0.6446
   2.0249  2.3223
   1.4580  2.2104
   0.9287  2.9706
   2.0797  4.4547
   1.4919  6.3345
   1.3961  4.7253
   1.2011  1.5565
   1.3070  2.6964
   2.5778  6.4483
   1.1873  3.5172
   1.1950  2.8834
   2.0505  5.4718
   2.3817  2.6201
   0.9204  4.8435
   0.6189  3.8058
   0.3682  2.5039
   1.9761  2.8106
   0.0465  0.0986
   1.2716  6.2200
   1.3222  6.4656
   2.8583  5.3316
   1.7453  3.9463
   0.7279  5.4022
   1.9554  4.0437
   0.8637  3.8861
   2.1149  2.0942
   2.5343  1.1828
   0.8395  5.7124
   1.8362  0.3125
   0.6680  1.8719
   0.9621  1.5001
   1.3400  3.7028
   2.7358  4.7789
   3.0051  0.4833
   2.8192  6.0750
   2.1901  4.9185
   1.9507  1.4425
   1.4911  5.8502
   1.7436  0.7335
   1.9567  0.5512
   0.7983  3.2031
   1.9705  0.7853
   3.2841  5.3886
   2.3092  2.3165
   1.3131  5.1917
   2.1862  1.8166
