   0.9541  3.5063
   0.9074  5.9272
   1.4016  3.5827
   2.2582  3.4437
   1.8840  1.3112
   0.5938  4.0529
   1.1508  1.4573
   2.3230  1.5310
   2.6772 -0.3307
   1.4871  4.0323
   1.2617  4.9922
   1.9774  0.3871
  -0.3931  5.3661
   1.1633  6.3991
   2.6960  0.9543
   2.1416  2.8723
   3.1884  1.3284
   2.5881  4.9895
   1.8489  3.7425
   1.8696  2.4249
   0.5488  3.1863
   2.2039  4.0408
   1.5672  2.1162
   1.7427  0.8109
   0.9627  2.8884
   2.2603  5.5676
   1.6500  2.8111
   0.3947  0.8951
   0.4649  5.9794
   1.3062  2.5107
   1.9819  1.8723
   1.7056  4.7946
   1.3354  3.1227
   0.7243  1.6373
   0.8764  0.9967
   2.2168  4.6088
   2.0685  5.1126
   1.6512  5.2803
   1.2161  0.6811
   0.1024  4.2737
   1.3809  5.9727
   1.1540  1.9653
   2.7055  2.0273
   2.3011  2.2942
   0.8906  5.3250
   1.5320  0.3692
   1.4342  1.1168
   2.1595  6.1076
   1.8209  4.3343
   2.1996  0.9256
   2.4122  0.3399
   0.7705  0.3529
   0.9177  4.6238
   1.3543  4.4919
   1.8017  5.7220
   0.5210  4.9599
   1.8036  3.2628
   2.6487  4.0161
   1.5713  1.6383
   0.8407  2.3500
   1.2946  5.5377
   2.6165  2.9996
   1.7303  6.2307
   1.0449  4.0569
